Whisk_Name,URL,Num_Revs,Brand,Cost,Age,ABV,Flavor,Profile
LAGAVULIN 12 YEAR (2016 SPECIAL RELEASE),https://distiller.com/spirits/lagavulin-12-year-2016-special-release,92,Lagavulin,spirit-cost cost-4,12 YEAR,57.7,PEATY & FULL BODIED,"{""smoky"":70,""peaty"":80,""spicy"":30,""herbal"":40,""oily"":50,""full_bodied"":70,""rich"":50,""sweet"":40,""briny"":50,""salty"":60,""vanilla"":30,""tart"":30,""fruity"":40,""floral"":0}"
LAGAVULIN OFFERMAN EDITION GUINNESS CASK FINISH,https://distiller.com/spirits/lagavulin-offerman-edition-guinness-finish,100,Lagavulin,spirit-cost cost-3,11 YEAR,46.0,VANILLA & PEATY,"{""smoky"":60,""peaty"":80,""spicy"":30,""herbal"":60,""oily"":40,""full_bodied"":70,""rich"":60,""sweet"":50,""briny"":0,""salty"":10,""vanilla"":90,""tart"":50,""fruity"":10,""floral"":20}"
PORT ASKAIG 100° PROOF,https://distiller.com/spirits/port-askaig-100-proof,97,Port Askaig,spirit-cost cost-3,NAS,57.1,PEATY & FULL BODIED,"{""smoky"":60,""peaty"":75,""spicy"":40,""herbal"":10,""oily"":30,""full_bodied"":70,""rich"":30,""sweet"":25,""briny"":20,""salty"":40,""vanilla"":25,""tart"":0,""fruity"":10,""floral"":0}"
SCAPA GLANSA,https://distiller.com/spirits/scapa-glansa,91,Scapa,spirit-cost cost-3,NAS,40.0,VANILLA,"{""smoky"":10,""peaty"":25,""spicy"":10,""herbal"":10,""oily"":20,""full_bodied"":30,""rich"":30,""sweet"":15,""briny"":15,""salty"":15,""vanilla"":30,""tart"":10,""fruity"":25,""floral"":0}"
HIGHLAND PARK DRAGON LEGEND,https://distiller.com/spirits/highland-park-dragon-legend,95,Highland Park,spirit-cost cost-3,NAS,43.1,NA,NA
PORT CHARLOTTE 2007 CC:01,https://distiller.com/spirits/port-charlotte-2007-cc-01,91,Port Charlotte,spirit-cost cost-4,NAS,54.8,PEATY & SMOKY,"{""smoky"":75,""peaty"":75,""spicy"":70,""herbal"":50,""oily"":30,""full_bodied"":60,""rich"":60,""sweet"":40,""briny"":50,""salty"":50,""vanilla"":40,""tart"":40,""fruity"":65,""floral"":20}"
HIGHLAND PARK FULL VOLUME,https://distiller.com/spirits/highland-park-full-volume,88,Highland Park,spirit-cost cost-4,NAS,47.2,SWEET & SMOKY,"{""smoky"":70,""peaty"":60,""spicy"":55,""herbal"":50,""oily"":60,""full_bodied"":40,""rich"":40,""sweet"":70,""briny"":50,""salty"":40,""vanilla"":65,""tart"":50,""fruity"":55,""floral"":30}"
HIGHLAND PARK THE DARK 17 YEAR,https://distiller.com/spirits/highland-park-the-dark-17-year,86,Highland Park,spirit-cost cost-5,17 YEAR,52.9,FULL BODIED & VANILLA,"{""smoky"":60,""peaty"":50,""spicy"":40,""herbal"":20,""oily"":30,""full_bodied"":80,""rich"":70,""sweet"":60,""briny"":40,""salty"":70,""vanilla"":70,""tart"":0,""fruity"":60,""floral"":40}"
THE BALVENIE PEATED TRIPLE CASK 14 YEAR,https://distiller.com/spirits/the-balvenie-peated-triple-cask-14-year,96,The Balvenie,spirit-cost cost-4,14 YEAR,48.0,RICH & FULL BODIED,"{""smoky"":55,""peaty"":50,""spicy"":45,""herbal"":20,""oily"":0,""full_bodied"":55,""rich"":55,""sweet"":45,""briny"":0,""salty"":0,""vanilla"":45,""tart"":25,""fruity"":50,""floral"":35}"
ARDBEG BLAAACK,https://distiller.com/spirits/ardbeg-blaaack,94,Ardbeg,spirit-cost cost-4,NAS,46.0,PEATY,"{""smoky"":45,""peaty"":50,""spicy"":20,""herbal"":10,""oily"":25,""full_bodied"":35,""rich"":35,""sweet"":30,""briny"":10,""salty"":15,""vanilla"":20,""tart"":15,""fruity"":35,""floral"":10}"
