Whisk_Name,Whisk_Type,Whisk_Loc,Communal_Rating,Distiller_Score,URL,Num_Revs,Brand,Cost,Age,ABV,Flavor,Profile,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral,Distiller
BUNNAHABHAIN MOINE,Single Malt,ISLAY,3.75,,https://distiller.com/spirits/bunnahabhain-moine,18,BUNNAHABHAIN,2,NAS,46.3,,,,,,,,,,,,,,,,,BUNNAHABHAIN
THE BALVENIE TRIPLE CASK 25 YEAR,Single Malt,SPEYSIDE,4.21,,https://distiller.com/spirits/the-balvenie-triple-cask-25-year,28,THE BALVENIE,5,25,40.0,,,,,,,,,,,,,,,,,BALVENIE
ARRAN THE DEVIL'S PUNCH BOWL CHAPTER III THE FIENDISH FINALE,Single Malt,ISLANDS,4.46,95.0,https://distiller.com/spirits/arran-the-devil-s-punchbowl-chapter-iii-the-fiendish-finale,27,ARRAN,4,NAS,53.0,SPICY & RICH,"{""smoky"":20,""peaty"":10,""spicy"":90,""herbal"":40,""oily"":70,""full_bodied"":70,""rich"":80,""sweet"":70,""briny"":40,""salty"":30,""vanilla"":50,""tart"":60,""fruity"":70,""floral"":50}",20.0,10.0,90.0,40.0,70.0,70.0,80.0,70.0,40.0,30.0,50.0,60.0,70.0,50.0,ARRAN
ROYAL LOCHNAGAR DISTILLERS EDITION,Single Malt,HIGHLAND,3.65,82.0,https://distiller.com/spirits/royal-lochnagar-distillers-edition,27,ROYAL LOCHNAGAR,4,NAS,40.0,FLORAL & FRUITY,"{""smoky"":20,""peaty"":20,""spicy"":50,""herbal"":30,""oily"":50,""full_bodied"":60,""rich"":60,""sweet"":60,""briny"":10,""salty"":10,""vanilla"":60,""tart"":50,""fruity"":70,""floral"":70}",20.0,20.0,50.0,30.0,50.0,60.0,60.0,60.0,10.0,10.0,60.0,50.0,70.0,70.0,ROYAL LOCHNAGAR
WOLFBURN LANGSKIP,Single Malt,HIGHLAND,3.68,,https://distiller.com/spirits/wolfburn-langskip,26,,3,5,58.0,,,,,,,,,,,,,,,,,WOLFBURN
GLEN MORAY ELGIN CLASSIC CABERNET CASK FINISH,Single Malt,SPEYSIDE,3.11,,https://distiller.com/spirits/glen-moray-elgin-classic-cabernet-cask-finish,29,GLEN MORAY,2,NAS,40.0,,,,,,,,,,,,,,,,,GLEN MORAY
KNOCKANDO 21 YEAR MASTER RESERVE (1994),Single Malt,SPEYSIDE,3.72,,https://distiller.com/spirits/knockando-21-year-master-reserve-1994,26,KNOCKANDO,3,21,43.0,,,,,,,,,,,,,,,,,KNOCKANDO
SPEY RIVER 12 YEAR,Single Malt,SPEYSIDE,2.82,,https://distiller.com/spirits/spey-river-12-year,28,SPEY RIVER,3,12,40.0,,,,,,,,,,,,,,,,,SPEY RIVER
THE BALVENIE FOUNDER'S RESERVE 10 YEAR,Single Malt,SPEYSIDE,3.99,,https://distiller.com/spirits/the-balvenie-founders-reserve-10-year,27,THE BALVENIE,5,10,40.0,,,,,,,,,,,,,,,,,BALVENIE
GLENMORANGIE BURGUNDY WOOD FINISH 12 YEAR,Single Malt,HIGHLAND,3.9,90.0,https://distiller.com/spirits/glenmorangie-burgundy-wood-finish-12-year,28,GLENMORANGIE,4,12,43.0,FRUITY & RICH,"{""smoky"":0,""peaty"":0,""spicy"":50,""herbal"":20,""oily"":30,""full_bodied"":80,""rich"":80,""sweet"":70,""briny"":30,""salty"":40,""vanilla"":60,""tart"":50,""fruity"":80,""floral"":50}",0.0,0.0,50.0,20.0,30.0,80.0,80.0,70.0,30.0,40.0,60.0,50.0,80.0,50.0,GLENMORANGIE
BALBLAIR 2000 1ST RELEASE,Single Malt,HIGHLAND,3.41,89.0,https://distiller.com/spirits/balblair-2000-1st-release,27,BALBLAIR,3,NAS,43.0,FRUITY & VANILLA,"{""smoky"":30,""peaty"":0,""spicy"":40,""herbal"":20,""oily"":20,""full_bodied"":60,""rich"":60,""sweet"":70,""briny"":0,""salty"":30,""vanilla"":70,""tart"":30,""fruity"":70,""floral"":20}",30.0,0.0,40.0,20.0,20.0,60.0,60.0,70.0,0.0,30.0,70.0,30.0,70.0,20.0,BALBLAIR
BALBLAIR 1997 1ST RELEASE,Single Malt,HIGHLAND,4.26,88.0,https://distiller.com/spirits/balblair-1997-1st-release,28,BALBLAIR,3,NAS,43.0,SWEET & FRUITY,"{""smoky"":0,""peaty"":0,""spicy"":40,""herbal"":20,""oily"":20,""full_bodied"":60,""rich"":60,""sweet"":80,""briny"":0,""salty"":0,""vanilla"":60,""tart"":30,""fruity"":60,""floral"":20}",0.0,0.0,40.0,20.0,20.0,60.0,60.0,80.0,0.0,0.0,60.0,30.0,60.0,20.0,BALBLAIR
GLENMORANGIE MALAGA CASK FINISH 12 YEAR,Single Malt,HIGHLAND,4.06,,https://distiller.com/spirits/glenmorangie-malaga-cask-finish-12-year,29,GLENMORANGIE,1,12,47.3,,,,,,,,,,,,,,,,,GLENMORANGIE
"ARRAN QUARTER CASK ""THE BOTHY""",Single Malt,ISLANDS,3.75,,https://distiller.com/spirits/arran-quarter-cask-the-bothy,30,ARRAN,3,NAS,56.2,,,,,,,,,,,,,,,,,ARRAN
KILCHOMAN UNITED STATES OF AMERICA SMALL BATCH,Single Malt,ISLAY,3.56,,https://distiller.com/spirits/kilchoman-united-states-of-america-small-batch,26,,3,NAS,48.5,,,,,,,,,,,,,,,,,KILCHOMAN
THE MACALLAN ESTATE,Single Malt,HIGHLAND,4.26,,https://distiller.com/spirits/the-macallan-estate,29,THE MACALLAN,5,NAS,43.0,,,,,,,,,,,,,,,,,MACALLAN
BENRIACH 21 YEAR,Single Malt,SPEYSIDE,3.73,,https://distiller.com/spirits/benriach-21-year,26,BENRIACH,5,21,46.0,,,,,,,,,,,,,,,,,BENRIACH
